Name        Count   Minium      Maxium      Average  
--------    -----   ---------   ---------   ---------
Total Species: 980

Species Information:

Name        Count   Minium      Maxium      Average  
--------    -----   ---------   ---------   ---------
-             190    0.068699   40.191475    4.555226
+             184    0.085572   36.829838    4.209615
A             409    0.001432   34.788364    2.788017
B              72    0.378610   40.191475    8.554451
BAR            45    0.378610   34.788364    7.246720
C+              2   29.380371   32.727749   31.054060
D              44    0.440305   34.788364   11.630802
D-              3   18.710629   31.189182   23.146238
D+              1   15.409226   15.409226   15.409226
DBAR            3    7.213315   34.788364   23.231976
DELTA          14    1.415513   20.621212    7.844045
DELTA-          3    1.415513   19.237141    8.599149
DELTA+          3    1.991102    6.699323    3.902999
DELTA++         2    1.991102    6.699323    4.345212
DELTABR         5    2.341713   18.231897    7.747204
DELTABR-        2    5.799401   18.231897   12.015649
DELTABR+        2    4.976677    7.386334    6.181506
DH              2    9.345643   24.568008   16.956826
DL              6    0.440305   25.072792    6.752991
DLTABR--        4    0.440305    7.356865    3.042245
E              44    0.068699   20.621212    4.756594
E-              2    0.068699    0.870066    0.469383
E+              3    0.497714    2.318738    1.134813
ETA             6    0.450267    8.084970    2.597280
F               1   31.871416   31.871416   31.871416
GAMMA         287    0.001432   10.590357    1.105681
HL              1    6.778451    6.778451    6.778451
K             108    0.248015   21.707800    4.542958
K-             19    0.248015   16.959869    4.225271
K+             16    0.765374   21.707800    5.841047
KBAR           11    1.002857    9.676666    3.896028
KD              3    1.695770    3.322769    2.764904
KDL             1    3.276174    3.276174    3.276174
KH              1    4.258712    4.258712    4.258712
KL              1    6.927484    6.927484    6.927484
L              44    0.440305   29.380371    6.618005
LAMBDA          6    2.072906   17.882027    6.818562
LAMBDABR        2    2.072906    7.151476    4.612191
LMBDA           1   29.380371   29.380371   29.380371
MU              7    3.067208   15.212743    7.766380
MU-             2    4.216293   11.892896    8.054594
MU+             2    3.067208    6.725376    4.896292
MUBAR           1   15.212743   15.212743   15.212743
N              24    0.639142   20.900103    6.864774
NBAR            8    0.639142   19.426508    5.963271
NU              5    1.862430   15.212743    6.767863
OMEGA          18    0.752740   17.536438    4.224035
P             394    0.085572   36.829838    2.552693
PBAR           10    0.378610   12.761330    4.353026
PHI             2    6.023574    6.110828    6.067201
PI            376    0.085572   36.829838    2.452284
PI-           114    0.088954   22.284681    2.340767
PI+           121    0.085572   29.004929    2.612070
RHO            50    0.323995   35.774281    5.071733
RHO-           17    0.716532   13.789380    3.968287
RHO+           13    0.513929   16.244141    4.222495
S              21    0.312242   32.727749    8.008798
SGMA            1    9.334332    9.334332    9.334332
SIGMA           7    0.983482   32.727749    7.646569
SIGMABR+        2    0.983482    9.215176    5.099329
TAU             2    1.862430    9.364506    5.613468
TAU-            1    9.364506    9.364506    9.364506
XI              3    2.787153    9.547680    7.142582
XIBAR           1    2.787153    2.787153    2.787153
Total Species: 980

Species Information:

Name        Count   Minium      Maxium      Average  
--------    -----   ---------   ---------   ---------
